Polska nazwa,Angielska nazwa,Interakcje
Abakawir,Abacavir,"Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
"
Abakawir,Abacavir,"Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
"
Abakawir,Abacavir,"Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
W kontrolowanych badaniach klinicznych niezbyt często występowały nieprawidłowe wyniki badań laboratoryjnych. Nie wykazano różnić w częstości ich występowania pomiędzy grupą leczoną abakawirem, a grupą kontrolną. 
"
Abatacept,Abatacept,"Nie należy prowadzić pojazdów mechanicznych i obsługiwać maszyn w przypadku wystąpienia działań niepożądanych takich jak zawroty głowy, utrudnione widzenie czy też mniejsza ostrość widzenia w trakcie stosowania abataceptu.
"
Abatacept,Abatacept,"Nie należy prowadzić pojazdów mechanicznych i obsługiwać maszyn w przypadku wystąpienia działań niepożądanych takich jak zawroty głowy, utrudnione widzenie czy też mniejsza ostrość widzenia w trakcie stosowania abataceptu.
Nie zalecane jest podawanie żywej szczepionki w trakcie oraz po leczeniu abataceptem przez okres 3 miesięcy od zakończenia leczenia lekiem. Jest to związane ze potencjalnie mniejszą skutecznością odpowiedzi immunologicznej zastosowanej szczepionki.
"
Abcyksymab,Abciximab,"Abcyksymab ma nieistotny wpływ na zdolność prowadzenia pojazdów oraz obsługę maszyn. 
"
Abirateron,Abiraterone,"Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
"
Abirateron,Abiraterone,"Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
"
Abirateron,Abiraterone,"Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
Łączne stosowanie abirateronu z dziurawcem zwyczajnym – silnym induktorem CYP3A4 – może skutkować zmniejszeniem średniego AUC substancji czynnej w osoczu nawet o połowę.
"
Acebutolol,Acebutolol,"Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
"
Acebutolol,Acebutolol,"Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
"
Acebutolol,Acebutolol,"Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
Stosując acebutolol powinno sie zachować ostrożnośc przy podawaniu środków znieczulających (eter, cyklopropan i trichloroetylen),które wywołują depresję mięśnia sercowego.
"
Aceklofenak,Aceclofenac,"NLPZ nie należy łączyć z alkoholem z powodu niebezpieczeństwa uszkodzenia błony śluzowej żołądka .
"
Aceklofenak,Aceclofenac,"NLPZ nie należy łączyć z alkoholem z powodu niebezpieczeństwa uszkodzenia błony śluzowej żołądka .
NLPZ nie należy łączyć z alkoholem z powodu niebezpieczeństwa uszkodzenia błony śluzowej żołądka .
"
Acemetacyna,Acemetacin,"Zalecane jest przyjmowanie acemetacyny wraz z posiłkiem.
"
Acemetacyna,Acemetacin,"Zalecane jest przyjmowanie acemetacyny wraz z posiłkiem.
Zalecane jest przyjmowanie acemetacyny wraz z posiłkiem.
"
Acemetacyna,Acemetacin,"Zalecane jest przyjmowanie acemetacyny wraz z posiłkiem.
Zalecane jest przyjmowanie acemetacyny wraz z posiłkiem.
Należy zachować szczególną ostrożność spożywając alkohol podczas stosowania acemetacyny, ze względu na zwiększone ryzyko działań niepożądanych, a w szczególności utajonych krwotoków w przewodzie pokarmowym. 
"
Acemetacyna,Acemetacin,"Zalecane jest przyjmowanie acemetacyny wraz z posiłkiem.
Zalecane jest przyjmowanie acemetacyny wraz z posiłkiem.
Należy zachować szczególną ostrożność spożywając alkohol podczas stosowania acemetacyny, ze względu na zwiększone ryzyko działań niepożądanych, a w szczególności utajonych krwotoków w przewodzie pokarmowym. 
Żeń-szeń nasila działanie przeciwzakrzepowe acemetacyny, wydłuża czas krwawienia oraz zwiększa ryzyko nagłych krwotoków. 
"
Acenokumarol,Acenocoumarol,"Przyjmując acenokumarol należy ograniczyć produkty bogate w witaminę K, do których należą warzywa liściaste (kapusta, brokuły, sałata), a także preparaty sojowe, wątroba, czy zielona herbata. Takie połączenie może prowadzić do osłabienia działania leku.
Picie soku z żurawiny znacznie nasila działanie przeciwzakrzepowe acenokumarolu. Nie ma konkretnych badań potwierdzających ryzyko interakcji po spożyciu żurawiny w postaci kapsułek/koncentratu. Wzmocnienie efektu przeciwzakrzepowego powoduje również czosnek. Zaleca się powstrzymanie od stosowania czosnku oraz żurawiny (w każdej postaci) podczas leczenia acenokumarolem, ze względu na zagrożenie ciężkimi krwawieniami.
"
Acenokumarol,Acenocoumarol,"Przyjmując acenokumarol należy ograniczyć produkty bogate w witaminę K, do których należą warzywa liściaste (kapusta, brokuły, sałata), a także preparaty sojowe, wątroba, czy zielona herbata. Takie połączenie może prowadzić do osłabienia działania leku.
Picie soku z żurawiny znacznie nasila działanie przeciwzakrzepowe acenokumarolu. Nie ma konkretnych badań potwierdzających ryzyko interakcji po spożyciu żurawiny w postaci kapsułek/koncentratu. Wzmocnienie efektu przeciwzakrzepowego powoduje również czosnek. Zaleca się powstrzymanie od stosowania czosnku oraz żurawiny (w każdej postaci) podczas leczenia acenokumarolem, ze względu na zagrożenie ciężkimi krwawieniami.
Przyjmując acenokumarol należy ograniczyć produkty bogate w witaminę K, do których należą warzywa liściaste (kapusta, brokuły, sałata), a także preparaty sojowe, wątroba, czy zielona herbata. Takie połączenie może prowadzić do osłabienia działania leku.
Picie soku z żurawiny znacznie nasila działanie przeciwzakrzepowe acenokumarolu. Nie ma konkretnych badań potwierdzających ryzyko interakcji po spożyciu żurawiny w postaci kapsułek/koncentratu. Wzmocnienie efektu przeciwzakrzepowego powoduje również czosnek. Zaleca się powstrzymanie od stosowania czosnku oraz żurawiny (w każdej postaci) podczas leczenia acenokumarolem, ze względu na zagrożenie ciężkimi krwawieniami.
"
Acenokumarol,Acenocoumarol,"Przyjmując acenokumarol należy ograniczyć produkty bogate w witaminę K, do których należą warzywa liściaste (kapusta, brokuły, sałata), a także preparaty sojowe, wątroba, czy zielona herbata. Takie połączenie może prowadzić do osłabienia działania leku.
Picie soku z żurawiny znacznie nasila działanie przeciwzakrzepowe acenokumarolu. Nie ma konkretnych badań potwierdzających ryzyko interakcji po spożyciu żurawiny w postaci kapsułek/koncentratu. Wzmocnienie efektu przeciwzakrzepowego powoduje również czosnek. Zaleca się powstrzymanie od stosowania czosnku oraz żurawiny (w każdej postaci) podczas leczenia acenokumarolem, ze względu na zagrożenie ciężkimi krwawieniami.
Przyjmując acenokumarol należy ograniczyć produkty bogate w witaminę K, do których należą warzywa liściaste (kapusta, brokuły, sałata), a także preparaty sojowe, wątroba, czy zielona herbata. Takie połączenie może prowadzić do osłabienia działania leku.
Picie soku z żurawiny znacznie nasila działanie przeciwzakrzepowe acenokumarolu. Nie ma konkretnych badań potwierdzających ryzyko interakcji po spożyciu żurawiny w postaci kapsułek/koncentratu. Wzmocnienie efektu przeciwzakrzepowego powoduje również czosnek. Zaleca się powstrzymanie od stosowania czosnku oraz żurawiny (w każdej postaci) podczas leczenia acenokumarolem, ze względu na zagrożenie ciężkimi krwawieniami.
Alkohol może nasilać działania niepożądane acenokumarolu, dlatego należy unikać spożywania alkoholu podczas leczenia.
"
Acenokumarol,Acenocoumarol,"Przyjmując acenokumarol należy ograniczyć produkty bogate w witaminę K, do których należą warzywa liściaste (kapusta, brokuły, sałata), a także preparaty sojowe, wątroba, czy zielona herbata. Takie połączenie może prowadzić do osłabienia działania leku.
Picie soku z żurawiny znacznie nasila działanie przeciwzakrzepowe acenokumarolu. Nie ma konkretnych badań potwierdzających ryzyko interakcji po spożyciu żurawiny w postaci kapsułek/koncentratu. Wzmocnienie efektu przeciwzakrzepowego powoduje również czosnek. Zaleca się powstrzymanie od stosowania czosnku oraz żurawiny (w każdej postaci) podczas leczenia acenokumarolem, ze względu na zagrożenie ciężkimi krwawieniami.
Przyjmując acenokumarol należy ograniczyć produkty bogate w witaminę K, do których należą warzywa liściaste (kapusta, brokuły, sałata), a także preparaty sojowe, wątroba, czy zielona herbata. Takie połączenie może prowadzić do osłabienia działania leku.
Picie soku z żurawiny znacznie nasila działanie przeciwzakrzepowe acenokumarolu. Nie ma konkretnych badań potwierdzających ryzyko interakcji po spożyciu żurawiny w postaci kapsułek/koncentratu. Wzmocnienie efektu przeciwzakrzepowego powoduje również czosnek. Zaleca się powstrzymanie od stosowania czosnku oraz żurawiny (w każdej postaci) podczas leczenia acenokumarolem, ze względu na zagrożenie ciężkimi krwawieniami.
Alkohol może nasilać działania niepożądane acenokumarolu, dlatego należy unikać spożywania alkoholu podczas leczenia.
Substancje zawarte w dymie tytoniowym zwiększają aktywność enzymu CYP1A2, który uczestniczy w metabolizmie acenokumarolu. W związku z tym osoby, które zaprzestały palenia tytoniu mogą wymagać zmiany dawkowania leku.
"
Acetazolamid,Acetazolamide,"W trakcie leczenia acetazolamidem nie należy prowadzić pojazdów i obsługiwać maszyn, ponieważ może on powodować działania niepożądane, takie jak zawroty głowy, senność, czy dezorientacja.
"
Acetazolamid,Acetazolamide,"W trakcie leczenia acetazolamidem nie należy prowadzić pojazdów i obsługiwać maszyn, ponieważ może on powodować działania niepożądane, takie jak zawroty głowy, senność, czy dezorientacja.
Acetazolamid może wpływać na wyniki niektórych badań laboratoryjnych.
"
Acetylocysteina,Acetylcysteine,"Nie stwierdzono interakcji z alkoholem, jednak ze względu na ryzyko podrażnienia błony śluzowej żołądka jednoczesne stosowanie nie jest zalecane.
"
Acetylocysteina,Acetylcysteine,"Nie stwierdzono interakcji z alkoholem, jednak ze względu na ryzyko podrażnienia błony śluzowej żołądka jednoczesne stosowanie nie jest zalecane.
Nie stwierdzono interakcji z alkoholem, jednak ze względu na ryzyko podrażnienia błony śluzowej żołądka jednoczesne stosowanie nie jest zalecane.
"
Acetylocysteina,Acetylcysteine,"Nie stwierdzono interakcji z alkoholem, jednak ze względu na ryzyko podrażnienia błony śluzowej żołądka jednoczesne stosowanie nie jest zalecane.
Nie stwierdzono interakcji z alkoholem, jednak ze względu na ryzyko podrażnienia błony śluzowej żołądka jednoczesne stosowanie nie jest zalecane.
Acetylocysteina może zaburzać wyniki niektóry badań laboratoryjnych takich jak:
"
Acyklowir,Acyclovir,"Podczas terapii cząsteczką należy pić dużo płynów i dbać o odpowiednie nawodnienie, aby nie doprowadzić do pojawienia się zaburzeń funkcji nerek oraz innych działań niepożądanych acyklowiru.
"
Acyklowir,Acyclovir,"Podczas terapii cząsteczką należy pić dużo płynów i dbać o odpowiednie nawodnienie, aby nie doprowadzić do pojawienia się zaburzeń funkcji nerek oraz innych działań niepożądanych acyklowiru.
Podczas terapii cząsteczką należy pić dużo płynów i dbać o odpowiednie nawodnienie, aby nie doprowadzić do pojawienia się zaburzeń funkcji nerek oraz innych działań niepożądanych acyklowiru.
"
Acytretyna,Acitretine,"Równoczesne przyjęcie pojedynczej dawki acytretyny z alkoholem skutkuje wytworzeniem nowego związku - etretynatu. Jest on silnie teratogenny i dłużej eliminuje się z organizmu, stąd kobietom w wieku rozrodczym nie wolno podawać alkoholu w żadnej postaci (napojach, jedzeniu, lekach) w trakcie kuracji jak i dwa miesiące po jej zakończeniu.
"
Acytretyna,Acitretine,"Równoczesne przyjęcie pojedynczej dawki acytretyny z alkoholem skutkuje wytworzeniem nowego związku - etretynatu. Jest on silnie teratogenny i dłużej eliminuje się z organizmu, stąd kobietom w wieku rozrodczym nie wolno podawać alkoholu w żadnej postaci (napojach, jedzeniu, lekach) w trakcie kuracji jak i dwa miesiące po jej zakończeniu.
Równoczesne przyjęcie pojedynczej dawki acytretyny z alkoholem skutkuje wytworzeniem nowego związku - etretynatu. Jest on silnie teratogenny i dłużej eliminuje się z organizmu, stąd kobietom w wieku rozrodczym nie wolno podawać alkoholu w żadnej postaci (napojach, jedzeniu, lekach) w trakcie kuracji jak i dwa miesiące po jej zakończeniu.
"
Acytretyna,Acitretine,"Równoczesne przyjęcie pojedynczej dawki acytretyny z alkoholem skutkuje wytworzeniem nowego związku - etretynatu. Jest on silnie teratogenny i dłużej eliminuje się z organizmu, stąd kobietom w wieku rozrodczym nie wolno podawać alkoholu w żadnej postaci (napojach, jedzeniu, lekach) w trakcie kuracji jak i dwa miesiące po jej zakończeniu.
Równoczesne przyjęcie pojedynczej dawki acytretyny z alkoholem skutkuje wytworzeniem nowego związku - etretynatu. Jest on silnie teratogenny i dłużej eliminuje się z organizmu, stąd kobietom w wieku rozrodczym nie wolno podawać alkoholu w żadnej postaci (napojach, jedzeniu, lekach) w trakcie kuracji jak i dwa miesiące po jej zakończeniu.
Minipigułka (zawierająca niskie dawki progesteronu) nie może być uznawana za skuteczną metodę antykoncepcyjną.
"
Adalimumab,Adalimumab,"Brak jest badań dotyczących wpływu leczenia adalimumabem na zdolność prowadzenia pojazdów mechanicznych. Należy zachować ostrożność podczas jazdy samochodem, ponieważ lek może powodować zawroty głowy i zaburzenia widzenia.
"
Adalimumab,Adalimumab,"Brak jest badań dotyczących wpływu leczenia adalimumabem na zdolność prowadzenia pojazdów mechanicznych. Należy zachować ostrożność podczas jazdy samochodem, ponieważ lek może powodować zawroty głowy i zaburzenia widzenia.
Adalimumab zwiększa stężenie enzymów wątrobowych we krwi, a także kinazy kreatynowej (CK). Stężenie kinazy jest oznaczane przy podejrzeniu zawału mięśnia sercowego czy przy pojawiających się bólach mięśniowych i osłabieniu mięśni.
"
Adapalen,Adapalene,"Nie należy stosować adapalenu u kobiet w ciąży oraz u kobiet planujących potomstwo. Badania na zwierzętach wykazały, że duże dawki adapalenu stosowanego doustnie wywierają toksyczny wpływ na płód. Dane dotyczące miejscowego stosowania substancji u kobiet w ciąży są ograniczone.
"
Adefowir,Adefovir,"Posiłek bogaty w tłuszcz wydłuża czas potrzebny do osiągnięcia maksymalnego stężenia adefowiru we krwi średnio o 120 minut. 
"
Adefowir,Adefovir,"Posiłek bogaty w tłuszcz wydłuża czas potrzebny do osiągnięcia maksymalnego stężenia adefowiru we krwi średnio o 120 minut. 
Posiłek bogaty w tłuszcz wydłuża czas potrzebny do osiągnięcia maksymalnego stężenia adefowiru we krwi średnio o 120 minut. 
"
Adefowir,Adefovir,"Posiłek bogaty w tłuszcz wydłuża czas potrzebny do osiągnięcia maksymalnego stężenia adefowiru we krwi średnio o 120 minut. 
Posiłek bogaty w tłuszcz wydłuża czas potrzebny do osiągnięcia maksymalnego stężenia adefowiru we krwi średnio o 120 minut. 
Adefowir zmniejsza tempo eliminacji olejku goździkowego i eukaliptusowego, co może skutkować zwiększonym stężeniem olejków w surowicy krwi.
"
Adenozyna,Adenosine,"Nie należy spożywać produktów zawierających ksantyny, jak np. herbata, kawa, czekolada, napoje energetyczne typu cola, na minimum 12 godzin przed podaniem adenozyny.
"
Adenozyna,Adenosine,"Nie należy spożywać produktów zawierających ksantyny, jak np. herbata, kawa, czekolada, napoje energetyczne typu cola, na minimum 12 godzin przed podaniem adenozyny.
Nie należy spożywać produktów zawierających ksantyny, jak np. herbata, kawa, czekolada, napoje energetyczne typu cola, na minimum 12 godzin przed podaniem adenozyny.
"
Adrenalina,Adrenaline,"Alkohol nasila działanie adrenaliny.
"
Adrenalina,Adrenaline,"Alkohol nasila działanie adrenaliny.
Alkohol nasila działanie adrenaliny.
"
Afamelanotyd,Afamelanotide,"U pacjentów zażywających leki zmniejszające krzepliwość krwi (warfaryna, antagonisty witaminy K, kwas acetylosalicylowy, niesteroidowe leki przeciwzapalne), może pojawić się nasilone zasinienie lub krwawienie w miejscu podania implantu z afamelanotydem.
"
Afatynib,Afatinib,"Przyjęcie leku z posiłkiem (zwłaszcza bogatotłuszczowym) wiąże się ze zmniejszeniem ekspozycji na afatynib, co wpływa na obniżenie skuteczności leczenia.
"
Afatynib,Afatinib,"Przyjęcie leku z posiłkiem (zwłaszcza bogatotłuszczowym) wiąże się ze zmniejszeniem ekspozycji na afatynib, co wpływa na obniżenie skuteczności leczenia.
Przyjęcie leku z posiłkiem (zwłaszcza bogatotłuszczowym) wiąże się ze zmniejszeniem ekspozycji na afatynib, co wpływa na obniżenie skuteczności leczenia.
"
Afatynib,Afatinib,"Przyjęcie leku z posiłkiem (zwłaszcza bogatotłuszczowym) wiąże się ze zmniejszeniem ekspozycji na afatynib, co wpływa na obniżenie skuteczności leczenia.
Przyjęcie leku z posiłkiem (zwłaszcza bogatotłuszczowym) wiąże się ze zmniejszeniem ekspozycji na afatynib, co wpływa na obniżenie skuteczności leczenia.
Ziele dziurawca (Hypericum perforatum) może zmniejszyć ekspozycję na afatynib, a tym samym skuteczność działania przeciwnowotworowego.
"
Agalzydaza,alfa,"Agalzydaza alfa nie wpływa na zdolność prowadzenia pojazdów i obsługi maszyn. 
"
Agalzydaza,beta,"Podczas stosowania agalzydazy beta mogą wystąpić zawroty głowy, senność lub omdlenia. 
"
Agomelatyna,Agomelatine,"Posiłek bogatotłuszczowy, może mieć wpływ na szybkość wchłaniania oraz dostępność biologiczną agomelatyny.
"
Agomelatyna,Agomelatine,"Posiłek bogatotłuszczowy, może mieć wpływ na szybkość wchłaniania oraz dostępność biologiczną agomelatyny.
Posiłek bogatotłuszczowy, może mieć wpływ na szybkość wchłaniania oraz dostępność biologiczną agomelatyny.
"
Agomelatyna,Agomelatine,"Posiłek bogatotłuszczowy, może mieć wpływ na szybkość wchłaniania oraz dostępność biologiczną agomelatyny.
Posiłek bogatotłuszczowy, może mieć wpływ na szybkość wchłaniania oraz dostępność biologiczną agomelatyny.
Nie zalecane jest, stosowanie agomelatyny u pacjentów z chorobami wywołanymi nadużywaniem alkoholu oraz spożywających znaczne ilości alkoholu, ze względu na ryzyko toksyczności i trwałego uszkodzenia wątroby.
"
Agomelatyna,Agomelatine,"Posiłek bogatotłuszczowy, może mieć wpływ na szybkość wchłaniania oraz dostępność biologiczną agomelatyny.
Posiłek bogatotłuszczowy, może mieć wpływ na szybkość wchłaniania oraz dostępność biologiczną agomelatyny.
Nie zalecane jest, stosowanie agomelatyny u pacjentów z chorobami wywołanymi nadużywaniem alkoholu oraz spożywających znaczne ilości alkoholu, ze względu na ryzyko toksyczności i trwałego uszkodzenia wątroby.
Preparaty z agomelatyną zawierają laktozę. Zatem takie leki nie powinny być podawane pacjentom cierpiącym na dziedziczną nietolerancję galaktozy lub niedobór enzymu laktazy oraz pacjentom z zespołem złego wchłaniania glukozy-galaktozy.
"
Akamprozat,(Acetylohomotaurynian,"Jednoczesne przyjmowanie akamprozatu i alkoholu nie ma wpływu na farmakokinetykę obu substancji.
"
